image_path,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
C:\Users\adnan\Downloads\VOCdevkit\VOC2008\JPEGImages\2007_000027.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
C:\Users\adnan\Downloads\VOCdevkit\VOC2008\JPEGImages\2007_000032.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
C:\Users\adnan\Downloads\VOCdevkit\VOC2008\JPEGImages\2007_000033.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\adnan\Downloads\VOCdevkit\VOC2008\JPEGImages\2007_000039.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
C:\Users\adnan\Downloads\VOCdevkit\VOC2008\JPEGImages\2007_000042.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
C:\Users\adnan\Downloads\VOCdevkit\VOC2008\JPEGImages\2007_000061.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\adnan\Downloads\VOCdevkit\VOC2008\JPEGImages\2007_000063.jpg,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
C:\Users\adnan\Downloads\VOCdevkit\VOC2008\JPEGImages\2007_000068.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\adnan\Downloads\VOCdevkit\VOC2008\JPEGImages\2007_000121.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
C:\Users\adnan\Downloads\VOCdevkit\VOC2008\JPEGImages\2007_000123.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
C:\Users\adnan\Downloads\VOCdevkit\VOC2008\JPEGImages\2007_000129.jpg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
C:\Users\adnan\Downloads\VOCdevkit\VOC2008\JPEGImages\2007_000170.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
C:\Users\adnan\Downloads\VOCdevkit\VOC2008\JPEGImages\2007_000175.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
C:\Users\adnan\Downloads\VOCdevkit\VOC2008\JPEGImages\2007_000187.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
C:\Users\adnan\Downloads\VOCdevkit\VOC2008\JPEGImages\2007_000241.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\adnan\Downloads\VOCdevkit\VOC2008\JPEGImages\2007_000243.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\adnan\Downloads\VOCdevkit\VOC2008\JPEGImages\2007_000250.jpg,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
C:\Users\adnan\Downloads\VOCdevkit\VOC2008\JPEGImages\2007_000256.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\adnan\Downloads\VOCdevkit\VOC2008\JPEGImages\2007_000272.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
C:\Users\adnan\Downloads\VOCdevkit\VOC2008\JPEGImages\2007_000323.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
C:\Users\adnan\Downloads\VOCdevkit\VOC2008\JPEGImages\2007_000332.jpg,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
C:\Users\adnan\Downloads\VOCdevkit\VOC2008\JPEGImages\2007_000333.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
C:\Users\adnan\Downloads\VOCdevkit\VOC2008\JPEGImages\2007_000346.jpg,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
C:\Users\adnan\Downloads\VOCdevkit\VOC2008\JPEGImages\2007_000363.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\adnan\Downloads\VOCdevkit\VOC2008\JPEGImages\2007_000364.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
C:\Users\adnan\Downloads\VOCdevkit\VOC2008\JPEGImages\2007_000392.jpg,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
C:\Users\adnan\Downloads\VOCdevkit\VOC2008\JPEGImages\2007_000423.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
C:\Users\adnan\Downloads\VOCdevkit\VOC2008\JPEGImages\2007_000452.jpg,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
C:\Users\adnan\Downloads\VOCdevkit\VOC2008\JPEGImages\2007_000464.jpg,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
C:\Users\adnan\Downloads\VOCdevkit\VOC2008\JPEGImages\2007_000480.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
